State,Expanded 2014,Expanded 2019
Alabama,0,0
Alaska,0,1
Arizona,1,1
Arkansas,1,1
California,1,1
Colorado,1,1
Connecticut,1,1
Delaware,1,1
DC,1,1
Florida,0,0
Georgia,0,0
Hawaii,1,1
Idaho,0,1
Illinois,1,1
Indiana,0,1
Iowa,1,1
Kansas,0,0
Kentucky,1,1
Louisiana,0,1
Maine,0,1
Maryland,1,1
Massachusetts,1,1
Michigan,1,1
Minnesota,1,1
Mississippi,0,0
Missouri,0,0
Montana,0,1
Nebraska,0,1
Nevada,1,1
New Hampshire,1,1
New Jersey,1,1
New Mexico,1,1
New York,1,1
North Carolina,0,0
North Dakota,1,1
Ohio,1,1
Oklahoma,0,0
Oregon,1,1
Pennsylvania,0,1
Rhode Island,1,1
South Carolina,0,0
South Dakota,0,0
Tennessee,0,0
Texas,0,0
Utah,0,1
Vermont,1,1
Virginia,0,1
Washington,1,1
West Virginia,1,1
Wisconsin,0,0
Wyoming,0,0